Promotion,City,State,Lat,Lon
AWA,Denver,Colorado,39.742043,-104.991531
AWA,Chicago,Illinois,41.881832,-87.623177
AWA,Red Wing,Minnesota,44.566069,-92.536956
AWA,Rochester,Minnesota,44.012122,-92.480199
AWA,Berlin,Wisconsin,43.968036,-88.943448
AWA,Clinton,Iowa,41.844474,-90.188738
AWA,Columbus,Nebraska,41.430297,-97.35939
AWA,Hinkley,Minnesota,46.015,-92.938889
World Wide Wrestling Federation,Greenburg,Pennsylvania,40.301458,-79.538929
AWA,Shawano,Wisconsin,44.782206,-88.608992
AWA,Duchien,Wisconsin,45.330491,-90.258221
AWA,Lafayette,Indiana,40.4167,-86.8753
AWA,Milwaukee,Wisconsin,43.038902,-87.906471
AWA,Oshkosh,Wisconsin,44.034294,-88.547745
NWF,Medina,Ohio,41.143245,-81.85522
AWA,Las Vegas,Nevada,36.114647,-115.172813
AWA,Council Bluffs,Iowa,41.261944,-95.860833
AWA,Mason City,Iowa,43.153573,-93.201037
AWA,"Sturgeon Bay,",Wisconsin,44.834164,-87.377042
AWA,Wausau,Wisconsin,44.959135,-89.63012
AWA,River Falls,Wisconsin,44.861356,-92.623808
AWA,Minot,North Dakota,48.232967,-101.292291
AWA,Tomah,Wisconsin,43.978576,-90.504021
AWA,Rockord,Illinois,42.259445,-89.064445
AWA,Green Bay,WIsconsin,44.513332,-88.015831
AWA,Marshfield,Wisconsin,44.668852,-90.17199
AWA,Salt Lake City,Utah,40.758701,-111.876183
Hollywood Wrestling,La Puente,California,34.020011,-117.949508
NWF,"Stuebenville, Ohio",Ohio,40.369791,-80.633964
AWA,Sisseston,South Dakota,45.664682,-97.049805
AWA,Peoira,Illinois,40.703545,-89.579086
Midwest Wrestling,St Joseph,Missouri,39.767458,-94.846681
Midwest Wrestling,Sedalia,Missouri,38.704461,-93.228261
Midwest Wrestling,St. Louis,Missouri,38.627003,-90.199402
Midwest Wrestling,Des Moines,Iowa,41.619549,-93.598022
Midwest Wrestling,Kansas City,Missouri,39.106667,-94.676392
Midwest Wrestling,Lincoln,Missouri,38.390856,-93.33465
Midwest Wrestling,Wichita,Kansas,37.697948,-97.314835
SouthWest Champtionship Wrestling,San Antonio,Texas,31.442778,-100.450279
SouthWest Champtionship Wrestling,Austin,Texas,30.266666,-97.73333
SouthWest Champtionship Wrestling,Corpus Christi,Texas,27.800583,-97.396378
SouthWest Champtionship Wrestling,Del Rio,Texas,29.370886,-100.895867
SouthWest Champtionship Wrestling,Weslaco,Texas,26.159519,-97.990837
SouthWest Champtionship Wrestling,Beaumont,Texas,30.080173,-94.126556
Mid-South Wrestling Association,Shreveport,Louisana,32.523659,-93.763504
Mid-South Wrestling Association,Jackson,Mississippi,32.298756,-90.184807
Mid-South Wrestling Association,New Orelans,Louisana,29.951065,-90.071533
Mid-South Wrestling Association,Tulsa,Oklahoma,36.15398,-95.992775
Mid-South Wrestling Association,Baton Rouge,Louisana,30.471165,-91.147385
Mid-South Wrestling Association,Alexandria,Louisana,31.311294,-92.445137
Mid-South Wrestling Association,Lake Charles,Louisana,30.212942,-93.21891
Mid-South Wrestling Association,Oklahoma City,Oklahoma,35.481918,-97.508469
Mid-South Wrestling Association,Gadsden,Alabama,34.014264,-86.006639
Mid-South Wrestling Association,Anniston,Alabama,33.659826,-85.831632
Big Time Wrestling,Detroit,Michigan,42.331429,-83.045753
WWA,Indianapolis,Indiana,39.791,-86.148003
Detroit Big Time Wrestling,Dearborn,Michigan,42.322262,-83.176315
AWA,Bartonville,Illinois,40.650316,-89.652045
Detroit Big Time Wrestling,Toledo,Ohio,41.651031,-83.541939
WWA,Fort Wayne,Indiapolis,41.093842,-85.139236
WWA,Terre Haute,Pennsylvania,39.466703,-87.413909
Championship Wrestling from Florida,Tampa,Florida,27.964157,-82.452606
Championship Wrestling from Florida,Miami,Florida,25.761681,-80.191788
Championship Wrestling from Florida,St. Petersburg,Florida,27.773056,-82.639999
Championship Wrestling from Florida,Jacksonville,Florida,30.49015,-81.647346
Championship Wrestling from Florida,West Palm Beach,Florida,26.709723,-80.064163
Championship Wrestling from Florida,Orlando,Florida,28.538336,-81.379234
Championship Wrestling from Florida,Tallahasse,Florida,30.455,-84.253334
Championship Wrestling from Florida,:Lakeland,Florida,28.039465,-81.949806
Championship Wrestling from Florida,Melbourne,Florida,28.083627,-80.608109
Championship Wrestling from Florida,Fort Lauderdale,Florida,26.122438,-80.137314
Championship Wrestling from Florida,Sarasota,Florida,27.341274,-82.528267
WWA,Daytona,Ohio,39.758949,-84.191605
Championship Wrestling from Florida,Winter Haven,Florida,28.022244,-81.732857
Championship Wrestling from Florida,Gainesville,Florida,29.651634,-82.324826
Championship Wrestling from Florida,Davie,Florida,26.076478,-80.252116
Championship Wrestling from Florida,Pinellas Park,Florida,27.842803,-82.699544
Championship Wrestling from Florida,Brandon,Florida,27.937801,-82.285925
Championship Wrestling from Florida,Port Richey,Florida,28.271676,-82.719545
Continental Champtionship Wrestling,Mobile,Alabama,30.695366,-88.039894
Continental Champtionship Wrestling,Hattiesburg,Mississippi,31.32712,-89.290337
MId South Wrestling,Lafayette,Louisana,30.216667,-92.033333
Continental Champtionship Wrestling,Penscvola,Florida,30.433283,-87.240372
Continental Champtionship Wrestling,Dothan,Alabama,31.223812,-85.393356
Continental Champtionship Wrestling,Panama City,Florida,30.176591,-85.805488
Continental Champtionship Wrestling,Knoxville,Tennesse,35.964668,-83.926453
Continental Champtionship Wrestling,Birmingham,Alabama,33.543682,-86.779633
Georgia Champtionship Wrestling,Columbus,Georgia,32.492222,-84.940277
Georgia Champtionship Wrestling,Atlanta,Georgia,33.753746,-84.38633
